movie_id,movie_name,year,tags,overview,rating,director,cast
tt9850646,Doorbeen,2019,"Punjabi, Adventure, Comedy, Drama","Shinda, a young man living in a small town in Punjab, looks for newer and smarter ways of smuggling liquor while also wooing the woman he loves.",5.9,Ishan Chopra,"Ninja, Wamiqa Gabbi, Jass Bajwa, Jasmin Bajwa, Harby Sangha"
tt9165806,Ittymaani: Made in China,2019,"Malayalam, Comedy, Drama","Manikkunnel Ittymaani, son of a prominent Chinese martial-arts trainer, is a reckless person who keeps landing in trouble.",4.2,Jibi Joju,"Mohanlal, Honey Rose, Radhika Sarathkumar, Swasika Vijay, Siddique"
tt9319812,Hum Chaar,2019,"Hindi, Drama","The story of the film revolves around four college friends went their own direction in life, but remained inseparable from each other.",6.6,Abhishek Dixit,"Prit Kamani, Simran Sharma, Anshuman Malhotra, Tushar Pandey, Veebha Anand"
tt8954990,Mushkil,2019,"Hindi, Horror","While vacationing in Greece, four friends are rattled by a series of supernatural incidents that get increasingly dangerous. They must now team up with their tour guide Vedant and a mysterious stranger named Aveer to escape the mortal danger they`re in, but their new allies could well be hiding a few dark secrets.",3.2,Rajiv S. Ruia,"Pooja Bisht, Rajneesh Duggal, Nazia Hussain, Kunaal Roy Kapur, Shafaq Naaz"
tt7871054,Marudhar Express,2019,"Hindi, Drama, Romance","Marudhar is the son of his tyrant father, Ashok Pandey. Straight as an arrow and boring as an oyster, Marudhar trudges along in his life, one hopeless day after the other. But Ashok has marriage plans for him and he won't have no for an answer. What follows is a comedy of ridiculous proportions as Marudhar marries the sweet and pretty Chitra from Lucknow. With no experience in dealing with women, let alone a wife, Marudhar embarks on an emotional and equally hilarious journey as he tries to find his feet amidst love, life and family.",4.8,Vishal Mishra,"Kunaal Roy Kapur, Tara-Alisha Berry, Rajesh Sharma, Gaurav Dixit, Saurabh Awasthi"
tt10187686,Thamaasha,2019,"Malayalam, Comedy, Drama","Srinivasan, a balding professor conscious about his looks, faces a tough time finding the right girl to marry. After learning about his friend Raheem's love story, Srinivasan regains his confidence.",7.7,Ashraf Hamza,"Vinay Forrt, Chinnu Chandni Nair, Navas Vallikkunnu, Divya Prabha, Grace Antony"
tt7743400,Jhalki,2019,"Hindi, Drama","In a twinkle of an eye, a life-altering disappearance of her 7-year old kid brother sets Jhalki off on a mission to find him at all costs.",6.9,Tanvi Jain,"Boman Irani, Tannishtha Chatterjee, Sanjay Suri, Divya Dutta, Shantanu Bhamare"
tt10121762,Uriyadi 2,2019,"Tamil, Thriller","Lenin Vijay, a young man, secures a job at a factory, along with two other friends. However, when he learns that the place is flouting environmental norms and causing deaths, he seeks justice.",7.0,Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar, Shankar Thas, Abbas"
tt10002654,Pattabhiraman,2019,"Malayalam, Drama",It is the story of a warrior against food adulteration and challenges he faces because of that.,6.3,Kannan Thamarakkulam,"Jayaram, Sheelu Abraham, Jose Adhya, Ali, Aleena Allu"
tt10017956,Gone Kesh,2019,"Hindi, Comedy, Drama","Enakshi is diagnosed with Alopecia, where she begins to lose hair from her scalp. Although she finds her temporary fix to this, it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?",6.8,Qasim Khallow,"Shweta Tripathi, Alisha, Deepika Amin, Malvika Bajaj, Ashish Bhatt"
tt7767336,Varikkuzhiyile Kolapathakam,2019,"Malayalam, Comedy, Mystery, Thriller",A smart Parish priest is highly respected and loved by the villagers until he gets locked up in a secret location by criminals for witnessing a murder.,6.6,Rejishh Midhila,"Amith Chakalakkal, Dileesh Pothan, Shammi Thilakan, Lenaa, Dheeraj Denny"
tt11312700,Prathi Poovankozhi,2019,"Malayalam, Drama, Thriller",Madhuri (Manju Warrier) an ordinary sales girl takes extra ordinary revenge against Antappn (Roshan Andrews) who misbehaved to her during a bus journey,6.9,Rosshan Andrrews,"Manju Warrier, Anusree, Rosshan Andrrews, Saiju Kurup, Alencier Ley Lopez"
